id,name,abrv,division,primaryColor,logo,playoffs,second_round,conf_final,cup_final,cup_win,proj_points,proj_goals,proj_goals_against,
1,Anaheim Ducks,ANA,Pacific,#CF4520,/Images/ducks.png,35.5%,13.7%,4.8%,1.9%,0.6%,85.2,264,281,09/09/2026
2,Boston Bruins,BOS,Atlantic,#000000,/Images/bruins.png,21.6%,7.3%,2.6%,0.9%,0.4%,85.9,248,264,09/09/2026
3,Buffalo Sabres,BUF,Atlantic,#003087,/Images/sabres.png,32.1%,11.9%,4.6%,1.7%,0.7%,88.6,256,264,09/09/2026
4,Calgary Flames,CGY,Pacific,#D2001C,/Images/flames.png,14.3%,4.5%,1.3%,0.4%,0.1%,79.3,232,269,09/09/2026
5,Carolina Hurricanes,CAR,Metropolitan,#CE1126,/Images/canes.png,94.3%,62.4%,41.7%,24.5%,15.4%,105.9,295,244,09/09/2026
6,Chicago Blackhawks,CHI,Central,#CF0A2C,/Images/blackhawks.png,8.0%,2.4%,0.6%,0.2%,0.1%,77.9,243,285,09/09/2026
7,Colorado Avalanche,COL,Central,#6F263D,/Images/avalanche.png,89.0%,50.6%,28.2%,15.9%,7.9%,100.6,276,245,09/09/2026
8,Columbus Blue Jackets,CBJ,Metropolitan,#002654,/Images/blue jackets.png,24.6%,8.9%,3.0%,1.1%,0.4%,86.2,254,269,09/09/2026
9,Dallas Stars,DAL,Central,#00843D,/Images/stars.png,87.8%,50.2%,28.9%,16.0%,7.7%,100.2,279,248,09/09/2026
10,Detroit Red Wings,DET,Atlantic,#ce1126,/Images/red wings.png,14.0%,4.0%,1.3%,0.4%,0.1%,83.5,246,270,09/09/2026
11,Edmonton Oilers,EDM,Pacific,#00205B,/Images/oilers.png,73.7%,38.0%,17.2%,7.7%,3.4%,93.4,264,256,09/09/2026
12,Florida Panthers,FLA,Atlantic,#c8102E,/Images/panthers.png,81.3%,43.4%,22.8%,11.5%,6.3%,99.9,271,241,09/09/2026
13,Los Angeles Kings,LAK,Pacific,#000000,/Images/kings.png,73.4%,37.5%,17.8%,8.1%,3.1%,93.4,260,252,09/09/2026
14,Minnesota Wild,MIN,Central,#154734,/Images/wild.png,83.7%,45.0%,23.4%,12.4%,6.0%,98.5,259,236,09/09/2026
15,Montreal Canadiens,MTL,Atlantic,#AF1E2D,/Images/canadiens.png,33.5%,11.9%,4.4%,1.7%,0.7%,88.8,265,271,09/09/2026
16,Nasvhille Predators,NSH,Central,#FFB81C,/Images/predators.png,41.8%,16.8%,6.8%,2.7%,1.0%,88.4,260,268,09/09/2026
17,New Jersey Devils,NJD,Metropolitan,#CE1126,/Images/devils.png,61.1%,29.9%,13.1%,6.0%,2.9%,94.4,264,252,09/09/2026
18,New York Islanders,NYI,Metropolitan,#00539b,/Images/islanders.png,9.4%,2.8%,0.7%,0.2%,0.1%,80.4,242,276,09/09/2026
19,New York Rangers,NYR,Metropolitan,#0038A8,/Images/rangers.png,44.1%,19.3%,7.5%,2.9%,1.3%,90.9,250,250,09/09/2026
20,Ottawa Senators,OTT,Atlantic,#000000,/Images/senators.png,77.2%,40.7%,21.2%,10.8%,5.5%,98.9,272,245,09/09/2026
21,Philadelphia Flyers,PHI,Metropolitan,#F74902,/Images/flyers.png,37.0%,15.3%,5.7%,2.2%,1.0%,89.3,249,254,09/09/2026
22,Pittsburgh Penguins,PIT,Metropolitan,#040707,/Images/penguins.png,40.2%,17.3%,6.4%,2.7%,1.1%,90.1,268,271,09/09/2026
23,San Jose Sharks,SJS,Pacific,#006D75,/Images/sharks.png,18.4%,6.0%,1.8%,0.5%,0.1%,80.7,250,282,09/09/2026
24,Seattle Kraken,SEA,Pacific,#68a2b9,/Images/kraken.png,18.9%,6.5%,1.9%,0.5%,0.1%,80.7,239,271,09/09/2026
25,St. Louis Blues,STL,Central,#002F87,/Images/blues.png,38.5%,15.1%,6.4%,2.3%,0.8%,87.7,252,262,09/09/2026
26,Tampa Bay Lightning,TBL,Atlantic,#002868,/Images/lightning.png,88.0%,52.1%,29.9%,16.6%,9.9%,102.4,286,248,09/09/2026
27,Toronto Maple Leafs,TOR,Atlantic,#00205b,/Images/leafs.png,74.2%,38.3%,19.4%,9.8%,5.0%,98.1,269,246,09/09/2026
28,Utah Mammoth,UTA,Central,#5c88da,/Images/utah.png,73.2%,36.3%,17.8%,8.9%,4.0%,95.6,277,261,09/09/2026
29,Vancouver Canucks,VAN,Pacific,#00205B,/Images/canucks.png,3.9%,1.0%,0.3%,0.1%,0.0%,72.8,241,299,09/09/2026
30,Vegas Golden Knights,VGK,Pacific,#B4975A,/Images/golden knights.png,93.3%,57.2%,34.7%,19.1%,9.7%,101,282,248,09/09/2026
31,Washington Capitals,WSH,Metropolitan,#041E42,/Images/capitals.png,67.2%,34.4%,15.7%,7.2%,3.4%,96,272,255,09/09/2026
32,Winnipeg Jets,WPG,Central,#004C97,/Images/jets.png,46.6%,19.1%,8.0%,3.3%,1.1%,89.6,248,252,09/09/2026
