id,name,abrv,division,primaryColor,logo,current_standing,current_playoffs,current_round2,current_conf,current_final,current_win,current_points,goals,goals against,dif
1,Anaheim Ducks,ANA,Pacific,#00685e,/Images/ducks.png,6,7.5%,1.7%,0.5%,0.1%,0%,76.6,231,268,#REF!
2,Boston Bruins,BOS,Atlantic,#FFB81C,/Images/bruins.png,8,28.7%,9.9%,3.2%,1.1%,0.3%,83.4,236,253,#REF!
3,Buffalo Sabres,BUF,Atlantic,#003087,/Images/sabres.png,7,30.1%,10.6%,3.7%,1.2%,0.4%,83.8,246,261,#REF!
5,Carolina Hurricanes,CAR,Metropolitan,#CE1126,/Images/canes.png,2,97.3%,69.7%,48.6%,27.8%,16.7%,105.2,241,195,#REF!
8,Columbus Blue Jackets,CBJ,Metropolitan,#002654,/Images/blue jackets.png,4,43.9%,17.6%,6.6%,2.5%,1.1%,87,259,264,#REF!
4,Calgary Flames,CGY,Pacific,#D2001C,/Images/flames.png,4,36.2%,11.6%,4.1%,1.5%,0.5%,86.1,229,238,#REF!
6,Chicago Blackhawks,CHI,Central,#CF0A2C,/Images/blackhawks.png,8,18.4%,5.1%,1.6%,0.4%,0.1%,82.2,219,239,#REF!
7,Colorado Avalanche,COL,Central,#6F263D,/Images/avalanche.png,3,44.4%,17.4%,6.8%,2.4%,0.8%,88.4,252,253,#REF!
9,Dallas Stars,DAL,Central,#006847,/Images/stars.png,2,92.0%,60.2%,37.8%,19.5%,9.9%,101.4,269,231,#REF!
10,Detroit Red Wings,DET,Atlantic,#ce1126,/Images/red wings.png,6,36.4%,13.0%,4.4%,1.6%,0.6%,85.1,252,264,#REF!
11,Edmonton Oilers,EDM,Pacific,#FF4C00,/Images/oilers.png,3,95.2%,61.6%,36.9%,22.8%,12.0%,102.8,281,238,#REF!
12,Florida Panthers,FLA,Atlantic,#c8102E,/Images/panthers.png,3,98.2%,71.4%,49.9%,31.3%,19.5%,106.1,255,205,#REF!
13,Los Angeles Kings,LAK,Pacific,#A2AAAD,/Images/kings.png,2,91.1%,55.0%,28.6%,16.3%,8.6%,100.5,235,204,#REF!
14,Minnesota Wild,MIN,Central,#154734,/Images/wild.png,4,55.5%,23.3%,10.0%,4.2%,1.8%,90.8,242,237,#REF!
15,Montreal Canadiens,MTL,Atlantic,#AF1E2D,/Images/canadiens.png,5,9.9%,2.5%,0.7%,0.2%,0.1%,77,238,274,#REF!
17,New Jersey Devils,NJD,Metropolitan,#CE1126,/Images/devils.png,3,61.2%,28.1%,11.8%,4.5%,1.9%,90.8,248,243,#REF!
16,Nashville Predators,NSH,Central,#FFB81C,/Images/predators.png,7,39.5%,15.0%,5.7%,2.3%,0.8%,87.4,245,250,#REF!
18,New York Islanders,NYI,Metropolitan,#00539b,/Images/islanders.png,6,36.7%,13.5%,5.0%,1.8%,0.6%,85.6,242,253,#REF!
19,New York Rangers,NYR,Metropolitan,#0038A8,/Images/rangers.png,5,54.8%,23.7%,9.5%,3.4%,1.2%,89.3,253,252,#REF!
20,Ottawa Senators,OTT,Atlantic,#DA1A32,/Images/senators.png,4,46.9%,18.9%,6.8%,2.7%,1.1%,87.5,242,247,#REF!
21,Philadelphia Flyers,PHI,Metropolitan,#F74902,/Images/flyers.png,8,12.8%,3.4%,1.1%,0.3%,0.1%,78.7,222,252,#REF!
22,Pittsburgh Penguins,PIT,Metropolitan,#FCB514,/Images/penguins.png,7,32.4%,11.0%,3.7%,1.2%,0.4%,84.5,261,274,#REF!
24,Seattle Kraken,SEA,Pacific,#68a2b9,/Images/kraken.png,7,7.0%,1.9%,0.4%,0.1%,0%,76.5,239,276,#REF!
23,San Jose Sharks,SJS,Pacific,#006D75,/Images/sharks.png,8,4.3%,1.0%,0.2%,0.1%,0%,74.6,225,268,#REF!
25,St. Louis Blues,STL,Central,#002F87,/Images/blues.png,5,43.4%,17.2%,6.8%,2.4%,0.8%,88.3,234,236,#REF!
26,Tampa Bay Lightning,TBL,Atlantic,#002868,/Images/lightning.png,2,77.4%,42.5%,18.7%,9.0%,4.2%,94.5,252,236,#REF!
27,Toronto Maple Leafs,TOR,Atlantic,#00205b,/Images/leafs.png,1,61.0%,27.2%,10.2%,4.4%,1.8%,90.4,245,241,#REF!
28,Utah Hockey Club,UTA,Central,#5c88da,/Images/utah.png,6,62.2%,29.6%,13.6%,5.8%,2.3%,92.2,241,232,#REF!
29,Vancouver Canucks,VAN,Pacific,#00205B,/Images/canucks.png,5,81.2%,39.0%,18.1%,9.0%,3.7%,96.3,239,219,#REF!
30,Vegas Golden Knights,VGK,Pacific,#B4975A,/Images/golden knights.png,1,41.7%,14.9%,5.6%,2.1%,0.7%,87.4,241,246,#REF!
32,Winnipeg Jets,WPG,Central,#004C97,/Images/jets.png,1,80.5%,45.7%,23.3%,11.0%,4.9%,96.8,254,231,#REF!
31,Washington Capitals,WSH ,Metropolitan,#041E42,/Images/capitals.png,1,72.5%,37.1%,16.1%,6.9%,3.1%,93.4,256,243,#REF!
