rank,name,abrv,division,primaryColor,logo
1,Tampa Bay Lightning,TBL,Atlantic,#002868,/Images/lightning.png
2,Florida Panthers,FLA,Atlantic,#c8102E,/Images/panthers.png
3,Ottawa Senators,OTT,Atlantic,#000000,/Images/senators.png
4,Toronto Maple Leafs,TOR - WC,Atlantic,#00205b,/Images/leafs.png
5,Buffalo Sabres,BUF - WC,Atlantic,#003087,/Images/sabres.png
6,Montreal Canadiens,MTL,Atlantic,#AF1E2D,/Images/canadiens.png
7,Boston Bruins,BOS,Atlantic,#000000,/Images/bruins.png
8,Detroit Red Wings,DET,Atlantic,#ce1126,/Images/red wings.png
1,Dallas Stars,DAL,Central,#00843D,/Images/stars.png
2,Colorado Avalanche,COL,Central,#6F263D,/Images/avalanche.png
3,Minnesota Wild,MIN,Central,#154734,/Images/wild.png
4,Utah Mammoth,UTA - WC,Central,#5c88da,/Images/utah.png
5,Winnipeg Jets,WPG - WC,Central,#004C97,/Images/jets.png
6,St. Louis Blues,STL,Central,#002F87,/Images/blues.png
7,Nasvhille Predators,NSH,Central,#FFB81C,/Images/predators.png
8,Chicago Blackhawks,CHI,Central,#CF0A2C,/Images/blackhawks.png
1,Carolina Hurricanes,CAR,Metropolitan,#CE1126,/Images/canes.png
2,Washington Capitals,WSH,Metropolitan,#041E42,/Images/capitals.png
3,New Jersey Devils,NJD,Metropolitan,#CE1126,/Images/devils.png
4,New York Islanders,NYI,Metropolitan,#00539b,/Images/islanders.png
5,New York Rangers,NYR,Metropolitan,#0038A8,/Images/rangers.png
6,Pittsburgh Penguins,PIT,Metropolitan,#040707,/Images/penguins.png
7,Philadelphia Flyers,PHI,Metropolitan,#F74902,/Images/flyers.png
8,Columbus Blue Jackets,CBJ,Metropolitan,#002654,/Images/blue jackets.png
1,Edmonton Oilers,EDM,Pacific,#00205B,/Images/oilers.png
2,Vegas Golden Knights,VGK,Pacific,#B4975A,/Images/golden knights.png
3,Los Angeles Kings,LAK,Pacific,#000000,/Images/kings.png
4,San Jose Sharks,SJS,Pacific,#006D75,/Images/sharks.png
5,Anaheim Ducks,ANA,Pacific,#CF4520,/Images/ducks.png
6,Seattle Kraken,SEA,Pacific,#68a2b9,/Images/kraken.png
7,Vancouver Canucks,VAN,Pacific,#00205B,/Images/canucks.png
8,Calgary Flames,CGY,Pacific,#D2001C,/Images/flames.png
