id,name,abrv,division,primaryColor,logo,current_round2,current_conf,current_final,current_win,date
30,Vegas Golden Knights,VGK,Pacific,#B4975A,/Images/golden knights.png,54.5%,37.7%,18.9%,9.9%,04/28/2026
26,Tampa Bay Lightning,TBL,Atlantic,#002868,/Images/lightning.png,59.5%,35.2%,16.3%,8.0%,04/28/2026
3,Buffalo Sabres,BUF,Atlantic,#003087,/Images/sabres.png,89.4%,41.9%,15.7%,6.3%,04/28/2026
28,Utah Mammoth,UTA,Central,#5c88da,/Images/utah.png,45.5%,28.8%,12.7%,5.9%,04/28/2026
9,Dallas Stars,DAL,Central,#00843D,/Images/stars.png,51.8%,21.7%,11.6%,5.6%,04/28/2026
14,Minnesota Wild,MIN,Central,#154734,/Images/wild.png,48.2%,19.4%,10.1%,4.6%,04/28/2026
21,Philadelphia Flyers,PHI,Metropolitan,#F74902,/Images/flyers.png,74.6%,21.0%,9.5%,3.6%,04/28/2026
5,Carolina Hurricanes,CAR,Metropolitan,#CE1126,/Images/canes.png,100.0%,71.6%,47.5%,28.2%,04/28/2026
7,Colorado Avalanche,COL,Central,#6F263D,/Images/avalanche.png,100.0%,58.9%,36.1%,20.2%,04/28/2026
1,Anaheim Ducks,ANA,Pacific,#CF4520,/Images/ducks.png,83.7%,26.8%,8.0%,2.6%,04/28/2026
15,Montreal Canadiens,MTL,Atlantic,#AF1E2D,/Images/canadiens.png,40.5%,18.4%,6.2%,2.2%,04/28/2026
22,Pittsburgh Penguins,PIT,Metropolitan,#040707,/Images/penguins.png,25.4%,7.4%,3.3%,1.2%,04/28/2026
11,Edmonton Oilers,EDM,Pacific,#00205B,/Images/oilers.png,16.3%,6.6%,2.6%,1.1%,04/28/2026
2,Boston Bruins,BOS,Atlantic,#000000,/Images/bruins.png,10.6%,4.5%,1.4%,0.5%,04/28/2026
20,Ottawa Senators,OTT,Atlantic,#000000,/Images/senators.png,0.0%,0.0%,0.0%,0.0%,04/28/2026
13,Los Angeles Kings,LAK,Pacific,#000000,/Images/kings.png,0.0%,0.0%,0.0%,0.0%,04/28/2026
