place,name,logo,tier,rankChange
1,Winnipeg Jets,/Images/jets.png,Best of the Best,0
2,Washington Capitals,/Images/capitals.png,Best of the Best,0
3,Edmonton Oilers,/Images/oilers.png,Best of the Best,0
4,Dallas Stars,/Images/stars.png,Solid Contender,1
5,Carolina Hurricanes,/Images/canes.png,Solid Contender,-1
6,Vegas Golden Knights,/Images/golden knights.png,Solid Contender,0
7,Florida Panthers,/Images/panthers.png,Solid Contender,0
8,New Jersey Devils,/Images/devils.png,Solid Contender,2
9,Tampa Bay Lightning,/Images/lightning.png,Solid Contender,2
10,Los Angeles Kings,/Images/kings.png,Solid Contender,-1
11,Toronto Maple Leafs,/Images/leafs.png,Solid Contender,-3
12,Colorado Avalanche,/Images/avalanche.png,Solid Contender,0
13,Minnesota Wild,/Images/wild.png,Playoff Team,1
14,Ottawa Senators,/Images/senators.png,Playoff Team,-1
15,Vancouver Canucks,/Images/canucks.png,Playoff Team,2
16,New York Rangers,/Images/rangers.png,Eastern Melee,4
17,New York Islanders,/Images/islanders.png,Eastern Melee,1
18,Detroit Red Wings,/Images/red wings.png,Eastern Melee,1
19,Columbus Blue Jackets,/Images/blue jackets.png,Eastern Melee,-4
20,Boston Bruins,/Images/bruins.png,Eastern Melee,1
21,Calgary Flames,/Images/flames.png,Western Longshots,-5
22,Utah Hockey Club,/Images/utah.png,Western Longshots,1
23,Montreal Canadiens,/Images/canadiens.png,No Mans Land,-1
24,Philadelphia Flyers,/Images/flyers.png,No Mans Land,0
25,St. Louis Blues,/Images/blues.png,No Mans Land,0
26,Seattle Kraken,/Images/kraken.png,No Mans Land,0
27,Pittsburgh Penguins,/Images/penguins.png,No Mans Land,0
28,Anaheim Ducks,/Images/ducks.png,No Mans Land,0
29,Buffalo Sabres,/Images/sabres.png,Hope Deferred,0
30,Nashville Predators,/Images/predators.png,Hope Deferred,0
31,Chicago Blackhawks,/Images/blackhawks.png,Hope Deferred,0
32,San Jose Sharks,/Images/sharks.png,Hope Deferred,0
