id,name,abrv,division,primaryColor,logo,playoffs,second_round,conf_final,cup_final,cup_win,low_points,proj_points,high_points,low_goals,proj_goals,high_goals,high_goals_against,proj_goals_against,low_goals_against,Dif
1,Anaheim Ducks,ANA,Pacific,#00685e,/Images/ducks.png,0.9%,0.1%,0%,0%,0%,63,69.3,75,221,232,242,283,294,306,-62
2,Boston Bruins,BOS,Atlantic,#FFB81C,/Images/bruins.png,62.2%,29.8%,13.7%,6.3%,2.8%,87,92.5,98,247,258,269,234,245,256,13
3,Buffalo Sabres,BUF,Atlantic,#0037087,/Images/sabres.png,15.1%,4.4%,1.3%,0.3%,0.1%,76,81.3,87,219,230,241,242,253,265,-23
4,Calgary Flames,CGY,Pacific,#D2001C,/Images/flames.png,14.1%,3.7%,1.1%,0.2%,0.1%,75,81.0,87,228,238,249,252,263,274,-25
5,Carolina Hurricanes,CAR,Metropolitan,#CE1126,/Images/canes.png,95.2%,61.6%,38.5%,24.0%,14.0%,99,104.1,110,250,261,272,201,211,222,50
6,Chicago Blackhawks,CHI,Central,#CF0A2C,/Images/blackhawks.png,3.1%,0.6%,0.1%,0%,0%,68,74.2,80,203,213,223,248,259,270,-46
7,Colorado Avalanche,COL,Central,#6F263D,/Images/avalanche.png,67.3%,31.3%,13.8%,6.1%,2.9%,88,94.1,100,250,261,272,232,242,253,19
8,Columbus Blue Jackets,CBJ,Metropolitan,#002654,/Images/blue jackets.png,0.5%,0.1%,0%,0%,0%,62,67.4,73,207,217,227,274,285,297,-68
9,Dallas Stars,DAL,Central,#006847,/Images/stars.png,90.0%,52.3%,26.6%,13.8%,7.2%,95,101.0,106,265,276,288,224,234,245,42
10,Detroit Red Wings,DET,Atlantic,#ce1126,/Images/red wings.png,27.3%,9.7%,3.4%,1.2%,0.4%,79,84.9,91,226,236,247,237,248,259,-12
11,Edmonton Oilers,EDM,Pacific,#FF4C00,/Images/oilers.png,81.8%,39.7%,19.8%,8.9%,4.1%,92,97.5,103,265,277,288,235,246,257,31
12,Florida Panthers,FLA,Atlantic,#c8102E,/Images/panthers.png,83.6%,46.1%,22.9%,11.2%,5.5%,93,98.2,104,234,245,256,206,216,226,29
13,Los Angeles Kings,LAK,Pacific,#A2AAAD,/Images/kings.png,86.5%,47.3%,25.8%,12.8%,6.4%,93,99.1,105,232,243,253,200,210,220,33
14,Minnesota Wild,MIN,Central,#154734,/Images/wild.png,78.1%,35.8%,15.3%,6.4%,3.0%,91,96.9,103,231,242,253,206,216,227,26
15,Montreal Canadiens,MTL,Atlantic,#AF1E2D,/Images/canadiens.png,0.9%,0.2%,0.1%,0%,0%,64,69.7,75,220,232,242,282,293,304,-61
16,Nashville Predators,NSH,Central,#FFB81C,/Images/predators.png,59.6%,27.5%,12.1%,5.4%,2.1%,87,92.5,98,256,267,278,243,253,264,14
17,New Jersey Devils,NJD,Metropolitan,#CE1126,/Images/devils.png,84.6%,44.5%,23.7%,11.8%,5.7%,93,98.5,104,263,274,286,230,241,252,33
18,New York Islanders,NYI,Metropolitan,#00539b,/Images/islanders.png,51.2%,19.5%,7.5%,2.8%,1.0%,84,90.3,96,236,247,258,230,241,252,6
19,New York Rangers,NYR,Metropolitan,#0038A8,/Images/rangers.png,86.1%,47.3%,26.0%,13.2%,6.6%,93,99.0,105,256,267,279,222,232,243,35
20,Ottawa Senators,OTT,Atlantic,#DA1A32,/Images/senators.png,53.2%,24.0%,10.3%,4.5%,1.8%,85,90.7,96,238,249,259,231,242,253,7
21,Philadelphia Flyers,PHI,Metropolitan,#F74902,/Images/flyers.png,9.9%,2.5%,0.7%,0.1%,0%,73,79.1,85,223,234,244,253,264,275,-30
22,Pittsburgh Penguins,PIT,Metropolitan,#FCB514,/Images/penguins.png,10.3%,2.8%,0.9%,0.2%,0.1%,74,79.3,85,237,248,259,266,277,289,-29
23,San Jose Sharks,SJS,Pacific,#006D75,/Images/sharks.png,0%,0%,0%,0%,0%,51,56.6,62,192,202,212,295,307,319,-105
24,Seattle Kraken,SEA,Pacific,#68a2b9,/Images/kraken.png,32.5%,11.2%,4.3%,1.4%,0.5%,81,86.6,92,227,237,248,234,244,255,-7
25,St. Louis Blues,STL,Central,#002F87,/Images/blues.png,5.2%,1.0%,0.2%,0.1%,0%,71,76.3,82,214,224,235,253,264,275,-40
26,Tampa Bay Lightning,TBL,Atlantic,#002868,/Images/lightning.png,65.1%,33.1%,16.0%,7.8%,3.2%,88,93.2,99,246,258,269,232,243,254,15
27,Toronto Maple Leafs,TOR,Atlantic,#00205b,/Images/leafs.png,85.1%,46.4%,23.2%,11.8%,5.3%,93,98.5,104,258,270,281,226,236,247,34
28,Utah Hockey Club,UTA,Central,#5c88da,/Images/utah.png,49.7%,19.8%,7.6%,2.9%,1.2%,84,90.2,96,244,256,267,238,249,261,7
29,Vancouver Canucks,VAN,Pacific,#00205B,/Images/canucks.png,98.4%,67.1%,43.9%,28.9%,17.8%,103,108.4,114,267,279,290,203,213,223,66
30,Vegas Golden Knights,VGK,Pacific,#B4975A,/Images/golden knights.png,56.2%,22.7%,9.7%,3.5%,1.5%,86,91.3,97,253,264,276,243,254,266,10
31,Washington Capitals,WSH,Metropolitan,#041E42,/Images/capitals.png,69.7%,28.1%,11.9%,4.9%,2.1%,89,94.3,100,255,266,277,236,246,257,20
32,Winnipeg Jets,WPG,Central,#004C97,/Images/jets.png,76.5%,40.1%,19.6%,9.7%,4.7%,91,96.5,102,245,256,267,220,231,241,25
