id,date,name,abrv,primaryColor,logo,current_playoffs,current_round2,current_conf,current_final,current_win
1,2024-10-1,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,0.5%,0.1%,0%,0%,0%
2,2024-10-1,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,71.9%,37.0%,18.8%,9.0%,4.1%
3,2024-10-1,Buffalo Sabres,BUF,#003087,/Images/sabres.png,20.1%,6.1%,2.0%,0.6%,0.2%
4,2024-10-1,Calgary Flames,CGY,#D2001C,/Images/flames.png,16.1%,3.9%,1.1%,0.3%,0.1%
5,2024-10-1,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,81.3%,43.2%,22.3%,11.5%,5.5%
6,2024-10-1,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,10.5%,2.5%,0.6%,0.1%,0%
7,2024-10-1,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,80.9%,41.8%,19.9%,9.3%,4.5%
8,2024-10-1,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,0.2%,0%,0%,0%,0%
9,2024-10-1,Dallas Stars,DAL,#006847,/Images/stars.png,95.3%,60.3%,33.4%,19.1%,10.9%
10,2024-10-1,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,28.4%,9.9%,3.4%,1.2%,0.4%
11,2024-10-1,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,91.1%,49.7%,26.6%,13.0%,6.8%
12,2024-10-1,Florida Panthers,FLA,#c8102E,/Images/panthers.png,94.5%,59.7%,35.5%,21.2%,11.8%
13,2024-10-1,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,87.2%,45.5%,24.2%,11.8%,6.0%
14,2024-10-1,Minnesota Wild,MIN,#154734,/Images/wild.png,72.0%,30.3%,12.1%,4.8%,1.9%
15,2024-10-1,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,1.0%,0.2%,0%,0%,0%
16,2024-10-1,Nashville Predators,NSH,#FFB81C,/Images/predators.png,69.1%,33.1%,15.1%,6.8%,3.2%
17,2024-10-1,New Jersey Devils,NJD,#CE1126,/Images/devils.png,87.2%,48.5%,25.5%,13.4%,6.6%
18,2024-10-1,New York Islanders,NYI,#00539b,/Images/islanders.png,77.8%,36.9%,17.4%,8.0%,3.5%
19,2024-10-1,New York Rangers,NYR,#0038A8,/Images/rangers.png,87.0%,48.2%,25.4%,13.3%,6.6%
20,2024-10-1,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,46.9%,19.8%,8.4%,3.5%,1.3%
21,2024-10-1,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,2.1%,0.4%,0.1%,0%,0%
22,2024-10-1,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,9.2%,2.4%,0.7%,0.2%,0.1%
23,2024-10-1,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0%,0%,0%,0%,0%
24,2024-10-1,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,41.5%,14.6%,5.6%,2.0%,0.7%
25,2024-10-1,St. Louis Blues,STL,#002F87,/Images/blues.png,3.6%,0.7%,0.1%,0%,0%
26,2024-10-1,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,59.2%,28.2%,13.5%,6.1%,2.6%
27,2024-10-1,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,79.2%,39.9%,19.7%,9.3%,4.3%
28,2024-10-1,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,19.7%,5.6%,1.8%,0.6%,0.2%
29,2024-10-1,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,97.8%,64.0%,39.1%,23.7%,14.2%
30,2024-10-1,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,47.1%,16.6%,6.5%,2.4%,0.9%
31,2024-10-1,Washington Capitals,WSH,#041E42,/Images/capitals.png,53.9%,19.7%,7.4%,2.7%,1.0%
32,2024-10-1,Winnipeg Jets,WPG,#004C97,/Images/jets.png,67.7%,31.5%,14.0%,6.2%,2.8%
1,2024-10-13,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,1.3%,0.3%,0.1%,0.01%,0.0%
2,2024-10-13,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,60.0%,28.6%,13.3%,6.0%,2.7%
3,2024-10-13,Buffalo Sabres,BUF,#003087,/Images/sabres.png,20.0%,7.1%,2.4%,0.8%,0.3%
4,2024-10-13,Calgary Flames,CGY,#D2001C,/Images/flames.png,44.4%,16.4%,6.5%,2.4%,0.9%
5,2024-10-13,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,89.0%,54.6%,32.4%,19.2%,10.8%
6,2024-10-13,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,12.7%,3.7%,1.1%,0.3%,0.1%
7,2024-10-13,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,53.0%,25.3%,11.9%,5.5%,2.6%
8,2024-10-13,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,1.7%,0.3%,0.1%,0.02%,0.0%
9,2024-10-13,Dallas Stars,DAL,#006847,/Images/stars.png,84.0%,45.0%,22.5%,11.1%,5.5%
10,2024-10-13,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,18.2%,6.6%,2.3%,0.8%,0.3%
11,2024-10-13,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,80.2%,44.0%,24.0%,12.5%,6.6%
12,2024-10-13,Florida Panthers,FLA,#c8102E,/Images/panthers.png,82.9%,48.8%,27.1%,15.2%,8.1%
13,2024-10-13,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,86.6%,49.1%,27.2%,14.5%,7.8%
14,2024-10-13,Minnesota Wild,MIN,#154734,/Images/wild.png,85.8%,49.3%,26.3%,14.3%,7.6%
15,2024-10-13,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,5.8%,1.4%,0.4%,0.1%,0.01%
16,2024-10-13,Nashville Predators,NSH,#FFB81C,/Images/predators.png,37.3%,16.5%,7.2%,3.2%,1.4%
17,2024-10-13,New Jersey Devils,NJD,#CE1126,/Images/devils.png,81.4%,41.4%,20.9%,10.2%,4.9%
18,2024-10-13,New York Islanders,NYI,#00539b,/Images/islanders.png,57.6%,26.0%,11.9%,5.4%,2.3%
19,2024-10-13,New York Rangers,NYR,#0038A8,/Images/rangers.png,83.6%,44.6%,23.6%,12.1%,6.1%
20,2024-10-13,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,55.4%,26.4%,12.4%,5.8%,2.7%
21,2024-10-13,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,21.3%,7.1%,2.4%,0.8%,0.3%
