id,date,name,abrv,primaryColor,logo,current_playoffs,current_win
1,10/7/2025,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,7.5%,0%
2,10/7/2025,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,14.6%,0.1%
3,10/7/2025,Buffalo Sabres,BUF,#0037087,/Images/sabres.png,28.1%,0.3%
5,10/7/2025,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,97.2%,12.5%
8,10/7/2025,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,6.7%,0%
4,10/7/2025,Calgary Flames,CGY,#D2001C,/Images/flames.png,30.6%,0.2%
6,10/7/2025,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,0.7%,0%
7,10/7/2025,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,89.9%,7.0%
9,10/7/2025,Dallas Stars,DAL,#006847,/Images/stars.png,95.1%,11.4%
10,10/7/2025,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,26.1%,0.2%
11,10/7/2025,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,91.2%,5.2%
12,10/7/2025,Florida Panthers,FLA,#c8102E,/Images/panthers.png,54.6%,1.3%
13,10/7/2025,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,92.0%,5.2%
14,10/7/2025,Minnesota Wild,MIN,#154734,/Images/wild.png,44.8%,0.6%
15,10/7/2025,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,26.3%,0.3%
17,10/7/2025,New Jersey Devils,NJD,#CE1126,/Images/devils.png,82.0%,3.7%
16,10/7/2025,Nashville Predators,NSH,#FFB81C,/Images/predators.png,10.2%,0%
18,10/7/2025,New York Islanders,NYI,#00539b,/Images/islanders.png,29.4%,0.3%
19,10/7/2025,New York Rangers,NYR,#0038A8,/Images/rangers.png,65.9%,1.7%
20,10/7/2025,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,72.3%,2.7%
21,10/7/2025,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,3.3%,0%
